woloxer_id,month,amount_of_messages,sentiment
U3AK756HH,2017-01,103,0.6055999994
U3AK756HH,2017-03,123,0.6008058786
U3AK756HH,2017-02,327,0.4887548685
U3AK756HH,2016-12,29,0.1852626652
U3AK756HH,2017-06,147,0.6588722467
U3AK756HH,2017-04,41,0.7188526988
U3AK756HH,2017-05,95,0.304897368
U3AK756HH,2017-07,24,0.3867082
U0A8V8HPF,2016-09,9,0.8323636651
U0A8V8HPF,2016-08,8,0.4128229618
U0A8V8HPF,2016-07,17,0.4977031052
U0A8V8HPF,2016-06,42,0.8021055460000001
U0A8V8HPF,2017-04,2,0.77568537
U0A8V8HPF,2016-01,5,0.1082506627
U0A8V8HPF,2015-12,2,0.2433358729
U0A8V8HPF,2016-02,2,0.039537549000000005
U0A8V8HPF,2016-04,1,0.4783090055
U0A8V8HPF,2017-01,2,0.9423919916000001
U04U5LE3S,2016-08,145,0.4521789551
U04U5LE3S,2017-05,105,0.5843855143000001
U04U5LE3S,2016-06,138,0.3430667818
U04U5LE3S,2016-07,122,0.2916581929
U04U5LE3S,2016-05,135,0.2142894566
U04U5LE3S,2016-11,93,0.4727346301
U04U5LE3S,2016-09,95,0.27462935450000003
U04U5LE3S,2017-02,135,0.45704573390000003
U04U5LE3S,2017-03,93,0.8387251496
U04U5LE3S,2016-10,53,0.1896113753
U04U5LE3S,2016-12,97,0.324875474
U04U5LE3S,2017-01,109,0.5617776513
U04U5LE3S,2017-04,123,0.4223122895
U04U5LE3S,2017-06,83,0.1616607755
U04U5LE3S,2015-11,40,0.34357196090000003
U04U5LE3S,2016-03,107,0.2495654821
U04U5LE3S,2015-06,7,0.1550735235
U04U5LE3S,2015-07,6,0.3853114843
U04U5LE3S,2016-04,103,0.23899337650000002
U04U5LE3S,2016-02,63,0.2707589865
U04U5LE3S,2016-01,12,0.7176940441
U04U5LE3S,2015-10,8,0.6741351485
U04U5LE3S,2015-09,1,0.754460156
U04U5LE3S,2015-12,22,0.2826038003
U04U5LE3S,2015-08,4,0.8645859957
U04U5LE3S,2017-07,2,0.6749134064
U04U2GZK5,2016-08,200,0.6665775776
U04U2GZK5,2016-07,179,0.9291543961000001
U04U2GZK5,2016-06,183,0.20259153840000002
U04U2GZK5,2016-09,211,0.6976000071
U04U2GZK5,2017-05,204,0.2410618216
U04U2GZK5,2016-11,149,0.9423155785
U04U2GZK5,2017-04,176,0.7142290473
U04U2GZK5,2016-10,139,0.8190715909
U04U2GZK5,2017-03,133,0.7200689912
U04U2GZK5,2016-05,214,0.7530827522
U04U2GZK5,2017-01,156,0.6114471555000001
U04U2GZK5,2017-06,157,0.35774073
U04U2GZK5,2016-12,97,0.7411159277
U04U2GZK5,2016-04,244,0.5486132503
U04U2GZK5,2016-01,42,0.7433285713000001
U04U2GZK5,2015-12,26,0.2742586732
U04U2GZK5,2017-02,97,0.3194665909
U04U2GZK5,2016-03,147,0.6688603163
U04U2GZK5,2017-07,37,0.37380334730000003
U04U2GZK5,2016-02,97,0.49456864600000006
U04U2GZK5,2015-11,48,0.7820934057000001
U04U2GZK5,2015-09,36,0.4118258953
U04U2GZK5,2015-10,32,0.4213923216
U04U2GZK5,2015-08,32,0.0762076378
U0KUY2AQZ,2016-08,86,0.6772502661
U0KUY2AQZ,2016-06,36,0.44044607880000003
